"Evenement";"Etang";"Date_Debut_Orage";"hypothese";"RMSE"
"ROUE RONZUEL (2025-05-31)";"ROUE RONZUEL";"2025-05-31";"0.20/175/5";1,87
"ROUE RONZUEL (2025-05-31)";"ROUE RONZUEL";"2025-05-31";"0.20/200/5";1,87
"ROUE RONZUEL (2025-05-31)";"ROUE RONZUEL";"2025-05-31";"0.20/225/5";1,87
"ROUE RONZUEL (2025-05-31)";"ROUE RONZUEL";"2025-05-31";"0.20/175/3";1,88
"ROUE RONZUEL (2025-05-31)";"ROUE RONZUEL";"2025-05-31";"0.20/225/4";1,88
"ROUE RONZUEL (2025-05-31)";"ROUE RONZUEL";"2025-05-31";"0.20/250/5";1,88
"ROUE RONZUEL (2025-05-31)";"ROUE RONZUEL";"2025-05-31";"0.20/150/2";1,89
"ROUE RONZUEL (2025-09-20)";"ROUE RONZUEL";"2025-09-20";"0.50/150/3";0,24
"ROUE RONZUEL (2025-09-20)";"ROUE RONZUEL";"2025-09-20";"0.40/150/3";0,25
"ROUE RONZUEL (2025-09-20)";"ROUE RONZUEL";"2025-09-20";"0.35/150/3";0,26
"ROUE RONZUEL (2025-09-20)";"ROUE RONZUEL";"2025-09-20";"0.50/175/3";0,27
"ROUE RONZUEL (2025-09-20)";"ROUE RONZUEL";"2025-09-20";"0.30/175/2";0,28
"ROUE RONZUEL (2025-09-20)";"ROUE RONZUEL";"2025-09-20";"0.30/150/3";0,28
"ROUE RONZUEL (2025-09-20)";"ROUE RONZUEL";"2025-09-20";"0.50/150/4";0,28
"ROUE RONZUEL (2025-09-20)";"ROUE RONZUEL";"2025-09-20";"0.20/150/2";0,29
"ROUE RONZUEL (2025-09-20)";"ROUE RONZUEL";"2025-09-20";"0.30/150/2";0,29
"ROUE RONZUEL (2025-09-20)";"ROUE RONZUEL";"2025-09-20";"0.35/175/2";0,29
"ROUE RONZUEL (2025-09-20)";"ROUE RONZUEL";"2025-09-20";"0.30/200/2";0,29
"ROUE RONZUEL (2025-09-20)";"ROUE RONZUEL";"2025-09-20";"0.35/200/2";0,29
